"","JULDAY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"42",46,1020,-7.42282485961914,-5.58841609954834,-5.22389221191406,-6.44797706604004,-7.69546365737915,-8.3787784576416,-8.51388263702393,-8.39629936218262,-8.08859729766846,7.7416672706604
"43",46,1080,-8.55076026916504,-6.99694204330444,-6.19400262832642,-6.56779432296753,-7.54663467407227,-8.2400951385498,-8.49910926818848,-8.39610195159912,-8.07093143463135,7.7416672706604
"44",46,1140,-9.0742712020874,-7.91877794265747,-7.00999879837036,-6.82953786849976,-7.49269199371338,-8.12128734588623,-8.47833156585693,-8.39559936523438,-8.05332660675049,7.7416672706604
"45",46,1200,-9.31665897369385,-8.62288284301758,-7.64792585372925,-7.13740158081055,-7.51366376876831,-8.0328197479248,-8.45348167419434,-8.39473533630371,-8.03578281402588,7.7416672706604
"46",46,1260,-10.2547397613525,-9.04882907867432,-8.17679977416992,-7.44629716873169,-7.58457517623901,-7.97752618789673,-8.42669105529785,-8.39347839355469,-8.01829719543457,7.7416672706604
"47",46,1320,-10.5962905883789,-9.46749401092529,-8.60845851898193,-7.74031686782837,-7.686119556427,-7.95323801040649,-8.39991092681885,-8.39182472229004,-8.00086784362793,7.7416672706604
"48",46,1380,-10.2613754272461,-9.91860961914062,-8.9618444442749,-8.01375961303711,-7.80534076690674,-7.95549201965332,-8.37473678588867,-8.38979148864746,-7.98349618911743,7.7416672706604
"49",74,0,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,-1.37371337413788,7.7416672706604
"50",74,60,-4.16078662872314,-2.75085258483887,-1.86047422885895,-1.4302567243576,-1.37857830524445,-1.37394857406616,-1.3737154006958,-1.37368607521057,-1.36288130283356,7.7416672706604
"51",74,120,-4.39255857467651,-3.26650357246399,-2.40430355072021,-1.61320638656616,-1.41556227207184,-1.37809455394745,-1.37381136417389,-1.3736047744751,-1.35208761692047,7.7416672706604
"52",74,180,-4.54168653488159,-3.57139015197754,-2.77470326423645,-1.8302206993103,-1.48914790153503,-1.39249622821808,-1.37440431118011,-1.37347424030304,-1.3413325548172,7.7416672706604
"53",74,240,-4.27423810958862,-3.86682415008545,-3.03910088539124,-2.03796744346619,-1.58513844013214,-1.4200451374054,-1.37613868713379,-1.37330567836761,-1.33061516284943,7.7416672706604
"54",74,300,-4.46487712860107,-3.9915828704834,-3.24358677864075,-2.22476935386658,-1.6911438703537,-1.46003019809723,-1.37965655326843,-1.37311863899231,-1.31993544101715,7.7416672706604
"55",74,360,-4.82708597183228,-4.05523729324341,-3.40626430511475,-2.38831567764282,-1.7990927696228,-1.51000595092773,-1.38544821739197,-1.37293934822083,-1.30929374694824,7.7416672706604
"56",74,420,-4.39091396331787,-4.00493717193604,-3.49670052528381,-2.52837014198303,-1.90433323383331,-1.56707620620728,-1.39380466938019,-1.37279880046844,-1.29868924617767,7.7416672706604
"57",74,480,-2.7843701839447,-3.42702794075012,-3.37084245681763,-2.62011861801147,-2.00089859962463,-1.62829303741455,-1.40482914447784,-1.37272989749908,-1.28812229633331,7.7416672706604
"58",74,540,-0.426518231630325,-2.20450115203857,-2.844646692276,-2.59917378425598,-2.07276606559753,-1.68946266174316,-1.41842210292816,-1.37276482582092,-1.27759325504303,7.7416672706604
