"","JULDAY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"68",74,1140,-3.33014583587646,-0.664570868015289,0.868395805358887,0.623988032341003,0.0693123042583466,-0.147655710577965,-0.467572748661041,-0.977931976318359,-0.706347584724426,7.7416672706604
"69",74,1200,-3.97209286689758,-1.84207820892334,-0.359801948070526,0.611374199390411,0.0736245214939117,-0.147132441401482,-0.46373376250267,-0.970056056976318,-0.696946740150452,7.7416672706604
"70",74,1260,-4.43197631835938,-2.56040716171265,-1.10100162029266,0.586780786514282,0.0775838121771812,-0.146563470363617,-0.45996817946434,-0.962224006652832,-0.68756103515625,7.7416672706604
"71",74,1320,-4.51855182647705,-3.0676748752594,-1.56414532661438,0.555280685424805,0.0810809135437012,-0.14595328271389,-0.456268519163132,-0.954436063766479,-0.678190231323242,7.7416672706604
"72",74,1380,-5.01998424530029,-3.35115361213684,-1.87697052955627,0.519749402999878,0.0840592682361603,-0.145306989550591,-0.452628195285797,-0.946692228317261,-0.668834269046783,7.7416672706604
"73",105,0,1.37179625034332,3.72419857978821,5.73684692382812,8.45198631286621,9.35342884063721,9.09830188751221,7.35188722610474,6.00438547134399,5.81367349624634,7.7416672706604
"74",105,60,1.17847537994385,3.31392216682434,5.17417812347412,7.83962726593018,8.93730163574219,8.92916774749756,7.41029071807861,6.02126455307007,5.81649541854858,7.7416672706604
"75",105,120,0.975010454654694,3.00283646583557,4.71791315078735,7.31048583984375,8.54288864135742,8.73410987854004,7.45332622528076,6.03850984573364,5.81934881210327,7.7416672706604
"76",105,180,0.826102018356323,2.75430512428284,4.34381055831909,6.85146379470825,8.17353820800781,8.5244140625,7.48118257522583,6.05591535568237,5.82223463058472,7.7416672706604
"77",105,240,1.35242283344269,2.45686316490173,4.04197359085083,6.45099306106567,7.83020544052124,8.30834579467773,7.49459362030029,6.07328605651855,5.82515096664429,7.7416672706604
"78",105,300,0.844301164150238,2.36548519134521,3.77711725234985,6.10051155090332,7.51246070861816,8.09175300598145,7.49463510513306,6.09044361114502,5.82809972763062,7.7416672706604
"79",105,360,2.07258820533752,2.63316464424133,3.66155767440796,5.80068683624268,7.21986532211304,7.87866735458374,7.48256778717041,6.10722541809082,5.83107709884644,7.7416672706604
"80",105,420,5.89167499542236,4.27579545974731,4.08736228942871,5.62131500244141,6.96192455291748,7.6726975440979,7.45974779129028,6.12349128723145,5.83408498764038,7.7416672706604
"81",105,480,11.6136798858643,7.30182313919067,5.48340892791748,5.72607374191284,6.77757263183594,7.48138093948364,7.42770862579346,6.13911914825439,5.8371205329895,7.7416672706604
"82",105,540,17.4460201263428,11.1608753204346,7.73723888397217,6.23812580108643,6.72869062423706,7.32112693786621,7.38853883743286,6.15401554107666,5.84018230438232,7.7416672706604
"83",105,600,22.4068603515625,15.2861356735229,10.5111112594604,7.16494369506836,6.86551809310913,7.21553421020508,7.3453426361084,6.16812038421631,5.84326791763306,7.7416672706604
"84",105,660,26.9334354400635,18.9581737518311,13.4493398666382,8.42500782012939,7.20660781860352,7.18832683563232,7.30237722396851,6.1814227104187,5.84637546539307,7.7416672706604
"85",105,720,29.4669895172119,21.9531288146973,16.170581817627,9.88307189941406,7.73649072647095,7.25647163391113,7.26474094390869,6.19397163391113,5.84950351715088,7.7416672706604
"86",105,780,30.141881942749,23.7865829467773,18.3738632202148,11.3801317214966,8.41140937805176,7.42584896087646,7.2377667427063,6.20588493347168,5.8526496887207,7.7416672706604
"87",105,840,28.5258312225342,24.2051887512207,19.7556095123291,12.7452478408813,9.16691017150879,7.6897177696228,7.22629547119141,6.21734523773193,5.85581254959106,7.7416672706604
